2019-06-18 18:37:38 configure selinux-utils:armhf 2.6-3+b3 <none>
2019-06-18 18:37:38 status unpacked selinux-utils:armhf 2.6-3+b3
2019-06-18 18:37:38 status half-configured selinux-utils:armhf 2.6-3+b3
2019-06-18 18:37:38 status installed selinux-utils:armhf 2.6-3+b3
2019-06-18 18:37:38 trigproc libc-bin:armhf 2.24-11+deb9u3 <none>
2019-06-18 18:37:38 status half-configured libc-bin:armhf 2.24-11+deb9u3
2019-06-18 18:37:38 status installed libc-bin:armhf 2.24-11+deb9u3
2019-06-18 18:37:38 trigproc systemd:armhf 232-25+deb9u4 <none>
2019-06-18 18:37:38 status half-configured systemd:armhf 232-25+deb9u4
2019-06-18 18:37:38 status installed systemd:armhf 232-25+deb9u4
2019-06-18 18:37:38 configure libisccfg-export140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4 <none>
2019-06-18 18:37:38 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2019-06-18 18:37:38 status unpacked libisccfg-export140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2019-06-18 18:37:38 status half-configured libisccfg-export140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2019-06-18 18:37:38 status installed libisccfg-export140:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2019-06-18 18:37:38 configure policycoreutils:armhf 2.6-3 <none>
2019-06-18 18:37:38 status unpacked policycoreutils:armhf 2.6-3
2019-06-18 18:37:38 status triggers-pending systemd:armhf 232-25+deb9u4
2019-06-18 18:37:38 status unpacked policycoreutils:armhf 2.6-3
2019-06-18 18:37:38 status unpacked policycoreutils:armhf 2.6-3
2019-06-18 18:37:38 status half-configured policycoreutils:armhf 2.6-3
2019-06-18 18:37:38 status installed policycoreutils:armhf 2.6-3
2019-06-18 18:37:38 configure libirs-export141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4 <none>
2019-06-18 18:37:38 status unpacked libirs-export141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2019-06-18 18:37:38 status half-configured libirs-export141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2019-06-18 18:37:38 status installed libirs-export141:armhf 1:9.10.3.dfsg.P4-12.3+deb9u4
2019-06-18 18:37:38 configure isc-dhcp-server:armhf 4.3.5-3+deb9u1 <none>
2019-06-18 18:37:38 status unpacked isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:38 status unpacked isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:38 status unpacked isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:38 status unpacked isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:38 status unpacked isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:39 status half-configured isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:40 status installed isc-dhcp-server:armhf 4.3.5-3+deb9u1
2019-06-18 18:37:40 trigproc libc-bin:armhf 2.24-11+deb9u3 <none>
2019-06-18 18:37:40 status half-configured libc-bin:armhf 2.24-11+deb9u3
2019-06-18 18:37:40 status installed libc-bin:armhf 2.24-11+deb9u3
2019-06-18 18:37:40 trigproc systemd:armhf 232-25+deb9u4 <none>
2019-06-18 18:37:40 status half-configured systemd:armhf 232-25+deb9u4
2019-06-18 18:37:40 status installed systemd:armhf 232-25+deb9u4
